Brand,Model,Selling_Price,Year,Owner,KM_Driven
Hero,Hero Glamour 125,25000,2013,1st owner,50000
Hero,Hero Glamour 125,15000,2011,1st owner,75000
Hero,Hero Glamour 125,54000,2013,1st owner,17000
Hero,Hero Glamour 125,50000,2017,1st owner,8600
Hero,Hero Glamour 125,35000,2014,1st owner,450000
Honda,Honda Activa 125 [2016-2017],42000,2016,1st owner,30514
Honda,Honda CB Shine SP,50000,2017,1st owner,34300
Yamaha,Yamaha Saluto,38000,2015,1st owner,15000
Bajaj,Bajaj Discover 150S,40000,2014,1st owner,50000
Bajaj,Bajaj Discover 150S,35000,2015,1st owner,28000
Honda,Honda Aviator,41000,2013,1st owner,36500
Honda,Honda Aviator,28000,2013,1st owner,28087
Bajaj,Bajaj Pulsar 135 LS,40000,2016,1st owner,13700
Bajaj,Bajaj Discover 150F,40000,2014,2nd owner,60855
Bajaj,Bajaj Discover 150F,30000,2015,1st owner,12000
Bajaj,Bajaj Pulsar 135 LS,20000,2010,2nd owner,50000
Bajaj,Bajaj Pulsar 135 LS,56000,2017,3rd owner,37714
Bajaj,Bajaj Pulsar 135 LS,20000,2010,1st owner,80000
Bajaj,Bajaj Pulsar 135 LS,23000,2010,1st owner,77000
Bajaj,Bajaj Pulsar 135 LS,40000,2018,1st owner,15000
Bajaj,Bajaj Pulsar 135 LS,24000,2010,1st owner,45000
Bajaj,Bajaj Pulsar 135 LS,20000,2010,1st owner,80000
Bajaj,Bajaj Pulsar 135 LS,25000,2011,2nd owner,30000
Bajaj,Bajaj Pulsar 135 LS,45000,2014,1st owner,14000
Bajaj,Bajaj Pulsar 135 LS,20000,2011,1st owner,60000
Bajaj,Bajaj Pulsar 135 LS,45000,2017,1st owner,22000
Bajaj,Bajaj Pulsar 135 LS,50000,2015,1st owner,48000
Honda,Honda CB Shine SP,47000,2017,1st owner,73000
Honda,Honda CB Shine SP,50000,2018,1st owner,37000
Honda,Honda CB Shine SP,42000,2017,1st owner,19800
Honda,Honda CB Shine SP,50000,2016,1st owner,45000
Hero,Hero  Ignitor Disc,20000,2015,2nd owner,24000
Hero,Hero Ignitor,36000,2016,1st owner,23000
Bajaj,Bajaj V15,42000,2016,1st owner,35000
Bajaj,Bajaj V15,50000,2017,1st owner,9000
Bajaj,Bajaj V15,45000,2015,1st owner,2700
Bajaj,Bajaj V15,76000,2018,1st owner,23000
Yamaha,Yamaha SZ X,25000,2012,2nd owner,30000
Yamaha,Yamaha SZ X,35000,2010,1st owner,46000
TVS,TVS Radeon,35000,2017,1st owner,20000
Honda,Honda CB Shine SP,41000,2017,1st owner,33000
Bajaj,Bajaj V15,40000,2016,1st owner,45000
Bajaj,Bajaj V15,42000,2016,1st owner,19500
Bajaj,Bajaj V15,40000,2016,1st owner,34000
Bajaj,Bajaj V15,45000,2016,1st owner,36000
Bajaj,Bajaj V15,70000,2018,1st owner,15000
Honda,Honda CB Shine SP,50000,2016,1st owner,46000
Honda,Honda CB Shine SP,48000,2015,1st owner,25000
Hero,Hero Ignitor,35000,2014,1st owner,33200
Hero,Hero Ignitor,30000,2016,1st owner,18000
Hero,Hero Achiever 150,29900,2016,1st owner,55000
Hero,Hero Achiever 150,38000,2017,1st owner,26000
Hero,Hero Achiever 150,65000,2016,1st owner,29000
Yamaha,Yamaha SZ RR V 2.0,35000,2015,1st owner,38000
Suzuki,Suzuki GS150R,30000,2010,1st owner,130000
Suzuki,Suzuki GS150R,27000,2012,1st owner,14100
Honda,Honda CB Shine SP,62000,2019,1st owner,10000
Hero,Hero Glamour FI,50000,2018,1st owner,20000
Hero,Hero Glamour FI,30900,2014,1st owner,25000
Hero,Hero Glamour FI,75000,2019,1st owner,8900
Honda,Honda CB Unicorn,45000,2010,1st owner,75000
Honda,Honda CB Unicorn Dazzler,22000,2011,1st owner,38350
Honda,Honda CB Unicorn Dazzler,50000,2010,1st owner,75000
Honda,Honda CB Unicorn Dazzler,25000,2011,1st owner,40000
Honda,Honda CB Unicorn,38000,2017,1st owner,38600
Vespa,Vespa VX 125,45000,2013,2nd owner,50000
Hero,Hero Xtreme [2013-2014],45000,2014,1st owner,56420
Yamaha,Yamaha SZ-S,50000,2014,1st owner,20000
Hero,Hero Xtreme 2014,35000,2013,1st owner,15000
Hero,Hero Xtreme 2014,50000,2014,1st owner,10000
Honda,Honda CB Trigger,42000,2015,1st owner,12000
Honda,Honda CB Trigger,30000,2015,1st owner,40000
Bajaj,Bajaj Pulsar 150,65000,2017,1st owner,5000
Honda,Honda CB Unicorn 150,50000,2014,1st owner,32000
Honda,Honda CB Unicorn 150,50000,2007,1st owner,46000
Honda,Honda CB Unicorn 150,70000,2017,1st owner,18000
Honda,Honda CB Unicorn 150,40000,2014,1st owner,77592
Honda,Honda CB Unicorn 150,75000,2013,1st owner,54000
Honda,Honda CB Unicorn 150,50000,2013,1st owner,17000
Honda,Honda CB Unicorn 150,50000,2016,1st owner,27000
Honda,Honda CB Unicorn 150,55000,2017,1st owner,12000
Honda,Honda CB Unicorn 150,60000,2017,1st owner,12652
Honda,Honda CB Unicorn 150,30000,2010,1st owner,69000
Honda,Honda CB Unicorn 150,45000,2016,2nd owner,50000
Honda,Honda CB Unicorn 150,55000,2014,1st owner,10000
Honda,Honda CB Unicorn 150,30000,2012,1st owner,32000
Honda,Honda CB Unicorn 150,42000,2013,1st owner,38000
Bajaj,Bajaj Pulsar 150,25000,2010,2nd owner,26000
Bajaj,Bajaj Pulsar 150,20000,2010,1st owner,60000
Hero,Hero Hunk,20000,2009,2nd owner,49000
Bajaj,Bajaj Pulsar 150,10000,2008,1st owner,92233
Bajaj,Bajaj Avenger [2015],35000,2011,1st owner,30000
Bajaj,Bajaj Avenger [2015],38000,2014,2nd owner,28243
Bajaj,Bajaj Avenger [2015],35000,2012,1st owner,15000
Bajaj,Bajaj Avenger [2015],65000,2015,1st owner,26000
Bajaj,Bajaj Avenger [2015],65000,2010,1st owner,20000
Bajaj,Bajaj Avenger [2015],45000,2011,1st owner,35000
Bajaj,Bajaj Avenger [2015],60000,2015,2nd owner,16000
Hero,Hero Xtreme [2013-2014],25000,2013,1st owner,24000
Hero,Hero Xtreme [2013-2014],45000,2013,1st owner,57000
Honda,Honda CB Trigger,40000,2015,1st owner,75000
Honda,Honda CB Trigger,45000,2013,1st owner,20000
Suzuki,Suzuki Access 125,70000,2018,1st owner,7000
Honda,Honda CB Unicorn 160,75000,2016,1st owner,40000
Honda,Honda CB Unicorn 160,50000,2017,1st owner,52000
Honda,Honda CB Unicorn 160,45000,2015,1st owner,15000
Vespa,Vespa LX 125,50000,2015,1st owner,3909
Suzuki,Suzuki Gixxer [2014-2018],55000,2015,1st owner,25000
Suzuki,Suzuki Gixxer [2014-2018],62000,2017,1st owner,15000
Suzuki,Suzuki Gixxer [2014-2018],45000,2015,1st owner,40000
Hero,Hero Xtreme Sports,43000,2016,2nd owner,50000
Hero,Hero Xtreme Sports,22000,2014,1st owner,99000
Hero,Hero Xtreme Sports,65000,2017,1st owner,23000
Hero,Hero Hunk,45000,2014,1st owner,41000
Hero,Hero Hunk,20000,2010,1st owner,35000
Hero,Hero Hunk,35000,2013,1st owner,50000
Hero,Hero Hunk,35000,2016,1st owner,32000
Hero,Hero Extreme,65000,2015,1st owner,16000
Hero,Hero Extreme,55000,2016,1st owner,15000
Hero,Hero Honda CBZ extreme,38000,2013,1st owner,75000
Hero,Hero  CBZ Xtreme,20000,2010,1st owner,50000
Yamaha,Yamaha FZ16,35000,2015,1st owner,32000
Yamaha,Yamaha FZ16,30000,2009,2nd owner,26000
Yamaha,Yamaha FZ16,35000,2012,2nd owner,29000
Yamaha,Yamaha FZ16,48000,2016,1st owner,20000
Yamaha,Yamaha FZ16,27000,2011,1st owner,67000
Yamaha,Yamaha FZ16,25000,2008,1st owner,40000
Yamaha,Yamaha FZ16,20000,2009,1st owner,50000
Yamaha,Yamaha FZ16,30000,2011,1st owner,44000
Yamaha,Yamaha FZ16,30000,2010,1st owner,70000
Yamaha,Yamaha FZ16,60000,2016,1st owner,29950
Yamaha,Yamaha FZ16,45000,2016,1st owner,37000
Yamaha,Yamaha FZ16,40000,2016,1st owner,93000
Honda,Honda CB Unicorn 160,75000,2015,1st owner,100000
Yamaha,Yamaha FZ S [2012-2016],38000,2013,1st owner,75000
Yamaha,Yamaha FZ S [2012-2016],42000,2013,1st owner,60000
Yamaha,Yamaha FZ S [2012-2016],40000,2014,1st owner,27785
Yamaha,Yamaha FZ S [2012-2016],40000,2011,1st owner,82000
Yamaha,Yamaha FZ S [2012-2016],60000,2014,1st owner,68000
Yamaha,Yamaha FZ S [2012-2016],45000,2016,2nd owner,20000
Yamaha,Yamaha FZ S [2012-2016],45000,2015,1st owner,24000
Bajaj,Bajaj Avenger 150,75000,2018,1st owner,7000
Bajaj,Bajaj Avenger 150 street,60000,2018,1st owner,20000
Hero,Hero Xtreme Sports,50000,2014,1st owner,80000
Hero,Hero Xtreme Sports,58000,2016,1st owner,21000
Bajaj,Bajaj Avenger Street 150 [2018],50000,2016,1st owner,40000
Bajaj,Bajaj Avenger Street 150 [2018],50000,2016,1st owner,32000
Bajaj,Bajaj Avenger Street 150 [2018],40000,2016,1st owner,29689
Bajaj,Bajaj Avenger Street 150 [2018],60000,2016,2nd owner,23097
Bajaj,Bajaj Avenger Street 150 [2018],60000,2016,1st owner,45137
Bajaj,Bajaj Avenger Street 150 [2018],75000,2016,1st owner,35000
Bajaj,Bajaj Avenger Street 150 [2018],80000,2017,1st owner,30000
Bajaj,Bajaj Avenger Street 150 [2018],60000,2017,1st owner,30000
Bajaj,Bajaj Avenger Street 150 [2018],60000,2016,2nd owner,27000
Bajaj,Bajaj Avenger Street 150 [2018],60000,2016,1st owner,25000
Bajaj,Bajaj Pulsar AS150,50000,2015,1st owner,5000
Bajaj,Bajaj Pulsar AS150,55000,2017,2nd owner,20000
TVS,TVS Apache RTR 160,65000,2019,1st owner,11800
TVS,TVS Apache RTR 160,60000,2014,1st owner,19000
TVS,TVS Apache RTR 160,42000,2016,1st owner,42000
Yamaha,Yamaha FZ V 2.0,60000,2014,1st owner,41311
Yamaha,Yamaha FZ V 2.0,35000,2014,1st owner,13500
Yamaha,Yamaha FZ V 2.0,60000,2018,1st owner,25000
Yamaha,Yamaha FZ V 2.0,60000,2016,1st owner,45420
Yamaha,Yamaha FZ 16,75000,2017,1st owner,18000
TVS,TVS Apache RTR 180,50000,2013,1st owner,6000
TVS,TVS Apache RTR 180,45000,2016,1st owner,23000
Suzuki,Suzuki Gixxer [2014-2018],69000,2017,1st owner,20000
Yamaha,Yamaha FZ S ,40000,2014,1st owner,5500
Honda,Honda CB Hornet 160R,70000,2017,1st owner,28000
Honda,Honda CB Trigger,45000,2015,1st owner,36000
Honda,Honda CB Trigger,40000,2014,1st owner,75000
Yamaha,Yamaha FZ S V 2.0,78000,2019,1st owner,5000
Yamaha,Yamaha FZ  v 2.0,60000,2017,1st owner,29000
Yamaha,Yamaha FZ  v 2.0,60000,2018,1st owner,25000
Yamaha,Yamaha FZ S V 2.0,55000,2017,1st owner,58000
Yamaha,Yamaha FZ S V 2.0,48000,2017,1st owner,23000
Yamaha,Yamaha FZ S V 2.0,85000,2018,1st owner,8000
Yamaha,Yamaha FZ S V 2.0,50000,2015,1st owner,20000
Yamaha,Yamaha FZ S V 2.0,60000,2015,2nd owner,17500
Yamaha,Yamaha FZ S V 2.0,50000,2014,1st owner,70000
Yamaha,Yamaha FZ S V 2.0,40000,2015,1st owner,25000
Yamaha,Yamaha FZ S V 2.0,60000,2017,1st owner,14500
Yamaha,Yamaha FZ S V 2.0,75000,2017,1st owner,20000
Yamaha,Yamaha FZ S V 2.0,65000,2017,1st owner,42000
Suzuki,Suzuki Gixxer [2014-2018],60000,2016,1st owner,16000
Yamaha,Yamaha FZ S V 2.0,78000,2017,1st owner,26100
Yamaha,Yamaha Fazer [2009-2016],40000,2013,3rd owner,35000
Yamaha,Yamaha Fazer [2009-2016],40000,2012,1st owner,7353
Yamaha,Yamaha Fazer [2009-2016],45000,2014,1st owner,57700
Yamaha,Yamaha Fazer [2009-2016],25000,2013,1st owner,120000
Yamaha,Yamaha Fazer [2009-2016],50000,2012,1st owner,100000
Yamaha,Yamaha Fazer [2009-2016],35000,2011,1st owner,15500
Yamaha,Yamaha Fazer [2009-2016],40000,2013,1st owner,34500
Bajaj,Bajaj Pulsar 180,15000,2008,1st owner,55000
Bajaj,Bajaj Pulsar 180,25000,2007,1st owner,80000
Bajaj,Bajaj Pulsar 180,35000,2012,1st owner,45000
Bajaj,Bajaj Pulsar 180,30000,2008,2nd owner,60000
Bajaj,Bajaj Pulsar 180,32000,2012,1st owner,40000
Bajaj,Bajaj Pulsar 180,50000,2017,1st owner,20500
Bajaj,Bajaj Pulsar 180,42000,2014,2nd owner,19600
Bajaj,Bajaj Pulsar 180,38000,2012,2nd owner,57000
Bajaj,Bajaj Pulsar 180,14900,2007,1st owner,50000
Bajaj,Bajaj Pulsar 180,65000,2018,1st owner,26000
Bajaj,Bajaj Pulsar 180,60000,2015,1st owner,28563
Bajaj,Bajaj Pulsar 180,40000,2013,1st owner,34000
Bajaj,Bajaj Pulsar 180,35000,2009,1st owner,19000
Bajaj,Bajaj Pulsar 180,20100,2008,1st owner,36000
Bajaj,Bajaj Pulsar 180,85000,2016,1st owner,35000
